ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	GoodBye.ACC	GoodBye.CRESP	GoodBye.DurationError	GoodBye.OnsetDelay	GoodBye.OnsetTime	GoodBye.OnsetToOnsetTime	GoodBye.RESP	GoodBye.RT	GoodBye.RTTime	Group	Instructions.ACC	Instructions.CRESP	Instructions.DurationError	Instructions.OnsetDelay	Instructions.OnsetTime	Instructions.OnsetToOnsetTime	Instructions.RESP	Instructions.RT	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Trigger.DurationError	Trigger.OffsetTime	Trigger.OnsetDelay	Trigger.OnsetTime	Trigger.OnsetToOnsetTime	Block	BlockList	BlockList.Cycle	BlockList.Sample	PracticeMode	Procedure[Block]	Running[Block]	Trial	ConditionNumber	CorrectAnswer	CuePositionY	CuePositionY2	DurationOfFixation	DurationOfTarget	FlankerType	IntervalBetweenCueAndTarget	PracSlideFixationEnd.DurationError	PracSlideFixationEnd.OnsetDelay	PracSlideFixationEnd.OnsetTime	PracSlideFixationEnd.OnsetToOnsetTime	PracSlideFixationStart.DurationError	PracSlideFixationStart.OnsetDelay	PracSlideFixationStart.OnsetTime	PracSlideFixationStart.OnsetToOnsetTime	PracSlideTarget.ACC	PracSlideTarget.CRESP	PracSlideTarget.DurationError	PracSlideTarget.OnsetDelay	PracSlideTarget.OnsetTime	PracSlideTarget.OnsetToOnsetTime	PracSlideTarget.RESP	PracSlideTarget.RT	PracSlideTarget.RTTime	PracSlideTarget.Tag	Procedure[Trial]	Running[Trial]	sound	TargetDirection	TargetFilePath	TargetImage	TargetPosition	TargetType	TrialList	TrialList.Cycle	TrialList.Sample	TrialNumber	WarningType
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	1	13	2	480	600	264	1000	congruent	450	-33	33	23466	0	-1	1	20083	1167	1	2	-999999	16	21850	0	2	584	22434		PracTrialProc	TrialList	?	right	stimuli\	rrrrr	480	up	26	1	1	26	double
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	2	8	1	540	-140	705	1000	incongruent	450	-40	40	26633	0	-3	3	23700	833	1	1	-999999	2	25133	0	1	461	25594		PracTrialProc	TrialList	?	left	stimuli\	rrlrr	480	up	15	1	2	15	center
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	3	8	2	540	-140	1079	1000	incongruent	450	-33	33	29866	0	-2	2	27300	483	1	2	-999999	15	28383	0	2	451	28834		PracTrialProc	TrialList	?	right	stimuli\	llrll	480	up	16	1	3	16	center
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	4	21	2	480	-140	193	1000	neutral	450	-37	37	34366	0	-4	4	30916	1367	1	2	-999999	11	32883	0	2	447	33330		PracTrialProc	TrialList	?	right	stimuli\	ooroo	480	up	42	1	4	42	up
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	5	22	2	600	-140	659	1000	congruent	450	-34	34	37499	0	-11	11	34533	866	1	2	-999999	3	35999	0	2	467	36466		PracTrialProc	TrialList	?	right	stimuli\	rrrrr	600	down	44	1	5	44	down
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	6	7	2	540	-140	163	1000	congruent	450	-30	30	41599	0	-8	8	38132	1417	1	2	-999999	9	40149	0	2	421	40570		PracTrialProc	TrialList	?	right	stimuli\	rrrrr	480	up	14	1	6	14	center
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	7	15	1	480	600	834	1000	neutral	450	-36	36	44549	0	0	0	41732	717	1	1	-999999	16	43049	0	1	465	43514		PracTrialProc	TrialList	?	left	stimuli\	ooloo	480	up	29	1	7	29	double
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	8	3	2	-140	-140	623	1000	neutral	450	-36	36	48365	0	-2	2	45349	933	1	2	-999999	6	46882	0	2	448	47330		PracTrialProc	TrialList	?	right	stimuli\	ooroo	480	up	6	1	8	6	no
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	9	17	2	600	480	11	1000	incongruent	450	0	29	52582	0	-13	13	48965	1450	1	2	-999999	13	51015	0	2	539	51554		PracTrialProc	TrialList	?	right	stimuli\	llrll	600	down	34	1	9	34	double
ANT_fMRI_Run1	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">54156963611</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-20T05:19:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ANT_fMRI_Run1-1-1	60.003	1.0.0.84	0		-999999	6	366317	0	{ENTER}	6118	372435	1	0		-999999	87	3583	0	1	1435	-1676938189	Professional	2.0.10.356	2.0.10.356	05-20-2017	2017/5/20 5:19:04	13:19:04	2.0.10.252	-999999	12082	49	5067	0	1	1	1	1	?	BlockProc	BlockList	10	10	1	540	-140	751	1000	congruent	450	-40	40	55465	0	-51	51	52615	600	1	1	-999999	13	53815	0	1	611	54426		PracTrialProc	TrialList	?	left	stimuli\	lllll	600	down	19	1	10	19	center
