Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-07-28.2CBDPC,2,1,11.47,11,CBDC,CBDPC,-22.1957,40.4848,81.8214,-26.765,164.2856,276.1201,596.3571,590.4405,550,549.9429,706.6,621.7857,691.7,631.25,0.875,0.8125,0.75,0.75,0.4375,0.6875,0.6875,0.8125,0.72656,616.4806889,849.56442,0.1875,0.28125,3.52E-01,-2.40E-01,-3.30E-01
16-07-31.2CBDPC,10,2,11.35,11,CBDC,CBDPC,72.9881,37.256,75.4337,122.4949,98.0691,55.0396,570.25,494.9167,468.2054,506.4286,630.875,581.1667,588,511.9167,0.75,0.8125,0.9375,0.9375,1,0.8125,0.9375,0.875,0.88281,543.0010111,616.1800246,0.09375,0.12187,-1.91E-01,7.90E-01,-3.15E-01
16-08-04.1CBDPC,11,1,9.19,9,CBDC,CBDPC,100.3222,65.5587,62.6655,176.6849,108.7448,67.5326,652.0833,591.625,552.8661,522.875,701.2143,625.8571,597.6518,605.375,0.75,1,0.9375,1,0.875,0.875,0.9375,1,0.92188,604.2830667,657.5622098,0.072917,0.084375,4.50E-01,-3.69E-01,2.04E-01
16-08-04.2CBDPC,12,1,10.58,11,CBDC,CBDPC,-1.8018,3.6828,80.2533,34.959,-8.93,87.0588,565.6875,558.0625,555.369,553.2768,620.2292,627.1429,648.125,651.5,1,1,0.8125,0.9375,0.875,0.875,1,1,0.9375,601.3214333,637.2523867,0.078125,0.071875,1.77E-01,2.61E-01,5.26E-01
16-08-04.3CBDPC,13,1,10.16,10,CBDC,CBDPC,24.1972,25.6831,85.1632,-56.1098,21.3648,177.8307,520.2,520.881,512.869,388.7708,595.119,571.75,569.0714,537.625,0.8125,0.8125,0.8125,0.875,0.8125,0.6875,0.6875,0.8125,0.78906,532.6706889,667.9286429,0.052083,0.19375,3.11E-01,1.23E-01,-1.20E-01
16-08-06.2CBDPC,18,2,11.95,12,CBDC,CBDPC,11.9413,33.8732,49.8888,89.8798,37.6824,61.0623,655.0952,676.9048,642.0268,608.9286,689.6429,695.375,691.5625,707.0429,0.8125,0.8125,0.9375,0.875,0.8125,0.875,1,0.75,0.85938,676.7865222,780.5887238,0.14583,0.14375,2.71E-01,7.89E-02,-5.60E-02
16-08-06.3CBDPC,19,1,9.51,10,CBDC,CBDPC,51.7027,72.4273,50.3362,53.8555,47.5607,56.7208,682.75,682.7381,608.125,543.1429,678.6875,681.5,670.0179,688.2857,1,0.8125,0.9375,0.9375,1,1,0.9375,0.75,0.92188,657.7496778,709.8601635,0.067708,0.075,7.31E-03,6.02E-01,5.88E-01
16-08-07.2CBDPC,23,2,10.35,10,CBDC,CBDPC,48.6637,16.8278,30.1489,58.4326,-21.5677,46.5385,680.45,664.4286,622.45,597.5167,747.4524,653.2381,674.4167,636.0333,0.8125,0.875,0.6875,0.6875,0.8125,0.8125,0.6875,0.6875,0.75781,657.1095333,870.26857,0.22917,0.24688,2.45E-01,1.55E-01,8.64E-02
16-08-07.3CBDPC,24,1,8.99,9,CBDC,CBDPC,1.4565,25.1361,50.6902,74.2338,374.3186,62.998,662.5875,679.7917,630.1964,649.9018,701.5714,722.975,727.25,659.2143,0.8125,0.625,0.9375,0.9375,0.8125,0.5625,1,0.875,0.82031,677.0542333,827.9626147,0.125,0.16562,4.60E-01,1.90E-01,-1.30E-01
16-08-07.4CBDPC,25,2,9.02,9,CBDC,CBDPC,98.819,62.2256,7.8228,76.63,110.6517,2.79,650,645.2381,551.5982,551.0625,733.0714,606.05,571.9833,517.3571,0.75,0.8125,0.9375,0.75,0.875,0.8125,0.6875,0.875,0.8125,594.0400667,742.5170154,0.15104,0.18437,2.38E-01,4.92E-01,-2.48E-01
