Scan_ID,Conds,Group,ROI_FF_Mcond_r01_spl_l,ROI_FF_Mcond_r02_spl_r,ROI_FF_Mcond_r03_fef_l,ROI_FF_Mcond_r04_fef_r,ROI_FF_Mcond_r05_tpj_l,ROI_FF_Mcond_r06_tpj_r,ROI_FF_Mcond_r07_vfc_l,ROI_FF_Mcond_r08_vfc_r,ROI_FF_Mcond_r09_dacc_l,ROI_FF_Mcond_r10_dacc_r,ROI_FF_Mcond_r11_ai_l,ROI_FF_Mcond_r12_ai_r,ROI_FF_Mcond_r13_lo_l,ROI_FF_Mcond_r14_lo_r,ROI_FF_Mcond_r15_cuneus_b
17-09-24.2CBDHA,c2O,1,6.46E+00,1.26E+01,1.41E+01,1.65E+01,-2.74E+00,-8.04E+00,1.78E+01,1.24E+01,-2.56E+00,6.92E+00,7.78E+00,4.48E+00,1.90E+01,1.12E+01,1.60E+01
17-05-20.2CBDHA,c2O,1,1.50E+01,9.88E+00,8.27E+00,8.83E+00,5.85E+00,5.85E+00,1.26E+01,3.09E+00,1.30E+01,5.35E+00,2.73E+00,8.80E-01,8.32E+00,1.40E+00,1.74E+01
17-06-30.5CBDHA,c2O,1,3.40E+01,4.20E+01,3.61E+01,4.69E+01,3.65E+01,3.03E+01,3.63E+01,3.04E+01,2.71E+01,1.58E+01,2.75E+01,2.75E+01,2.18E+01,2.08E+01,1.52E+01
17-09-23.1CBDPA,c2O,1,1.67E+01,1.28E+01,1.16E+01,1.34E+01,7.43E+00,4.66E+00,9.89E+00,1.72E+01,-3.67E-01,1.77E+00,4.34E+00,1.23E+00,-2.81E+00,-2.99E+00,2.11E+00
17-05-21.4CBDHA,c2O,1,1.03E+01,1.16E+01,1.15E+01,6.81E+00,-8.43E+00,-4.27E-01,4.58E+00,6.97E+00,4.27E+00,4.90E+00,-2.78E+00,2.00E+00,1.27E+01,7.13E+00,4.81E+00
17-06-22.1CBDPA,c2O,1,4.98E+00,-4.81E-01,4.08E+00,6.30E+00,1.03E+01,1.93E+01,-6.79E-01,-4.88E+00,-2.21E+01,-1.18E+01,-4.00E+00,-8.88E-01,-2.77E+00,-1.20E+01,-1.73E+00
17-06-11.1CBDHA,c2O,1,1.33E+00,-4.00E-01,2.02E+00,3.91E+00,4.54E+00,-1.69E+00,3.25E+00,3.94E+00,4.11E+00,1.05E+01,9.35E+00,1.05E+01,-1.44E+00,1.77E+00,-1.35E+01
17-09-16.2CBDHA,c2O,1,1.90E+01,2.38E+01,1.48E+01,1.18E+01,-5.92E+00,4.65E+00,3.92E+00,1.00E+01,-6.89E+00,-9.96E+00,5.92E+00,8.31E+00,2.25E+01,2.15E+01,1.80E+01
17-09-16.1CBDPA,c2O,1,-3.89E+00,-5.00E+00,-4.81E+00,-2.83E-01,-1.24E+01,-1.06E+01,6.85E+00,1.82E+00,-4.54E-01,9.91E+00,6.29E+00,9.54E+00,5.69E-01,7.93E-01,5.92E+00
17-09-17.2CBDHA,c2O,1,4.70E+00,4.18E+00,6.96E+00,9.00E+00,5.81E+00,1.73E+01,1.10E+01,1.05E+01,-3.10E+00,1.91E+01,-4.70E+00,-1.11E-02,-8.08E+00,-1.03E+01,-9.03E-01
17-09-17.3CBDHA,c2O,1,3.03E+00,-2.27E+00,2.20E+00,1.87E+00,7.06E+00,1.43E+01,-1.03E+01,-1.20E+01,6.56E+00,1.80E+01,2.93E+00,3.35E+00,-3.34E+00,-6.54E+00,4.81E+00
17-05-20.2CBDPA,c2O,1,1.37E+01,1.35E+00,1.81E+01,5.33E+00,1.39E+00,3.11E+00,1.56E+01,1.45E+01,-2.37E+00,1.00E+00,9.89E+00,9.92E+00,9.50E+00,7.96E+00,5.55E+00
17-07-02.3CBDPA,c2O,1,9.51E+00,8.18E+00,9.74E+00,8.75E+00,2.22E+00,5.10E+00,8.38E+00,1.49E+00,-2.80E+00,3.66E-01,-1.58E+00,-2.07E-01,-2.84E+00,6.66E-01,1.06E+00
