Scan_ID,Conds,Group,ROI_FF_Mcond_r01_spl_l,ROI_FF_Mcond_r02_spl_r,ROI_FF_Mcond_r03_fef_l,ROI_FF_Mcond_r04_fef_r,ROI_FF_Mcond_r05_tpj_l,ROI_FF_Mcond_r06_tpj_r,ROI_FF_Mcond_r07_vfc_l,ROI_FF_Mcond_r08_vfc_r,ROI_FF_Mcond_r09_dacc_l,ROI_FF_Mcond_r10_dacc_r,ROI_FF_Mcond_r11_ai_l,ROI_FF_Mcond_r12_ai_r,ROI_FF_Mcond_r13_lo_l,ROI_FF_Mcond_r14_lo_r,ROI_FF_Mcond_r15_cuneus_b
17-09-24.2CBDHA,c3C,1,3.05E-01,1.15E+00,-3.34E-01,1.15E-01,-1.02E+00,5.32E-01,1.58E+00,2.21E+00,1.77E+00,5.03E+00,7.46E-01,6.85E-01,3.42E+00,3.00E+00,-1.79E+00
17-05-20.2CBDHA,c3C,1,3.79E+00,2.57E+00,1.76E+00,6.79E-01,-9.13E+00,-2.94E+00,-6.40E+00,3.10E+00,2.93E+00,2.33E+00,-2.82E+00,-2.26E+00,4.43E+00,4.24E+00,6.08E+00
17-06-30.5CBDHA,c3C,1,-1.59E+00,-2.69E-01,-1.31E+00,-1.17E+00,-3.13E+00,2.62E+00,-2.77E+00,-5.53E-01,1.44E+00,7.28E-01,-3.15E+00,1.93E+00,8.57E-01,1.66E+00,-2.49E+00
17-09-23.1CBDPA,c3C,1,2.56E-01,2.40E+00,7.56E-01,2.29E+00,1.31E+00,4.10E+00,-3.28E-02,2.46E+00,1.41E+00,1.01E+00,-2.31E-01,4.93E-01,2.03E-01,6.96E-01,-1.05E+00
17-05-21.4CBDHA,c3C,1,5.80E-01,1.32E+00,1.94E+00,7.73E-01,6.30E-01,5.24E+00,-4.45E-01,8.84E-02,3.51E+00,4.51E+00,1.20E+00,1.46E+00,1.95E+00,1.67E+00,3.79E-01
17-06-22.1CBDPA,c3C,1,-2.32E-01,9.24E-01,1.88E-01,1.77E+00,4.06E+00,-5.04E-01,2.36E+00,2.72E+00,5.01E+00,5.38E+00,2.39E+00,2.08E+00,9.76E-03,4.63E-01,-1.12E+00
17-06-11.1CBDHA,c3C,1,7.89E-01,-4.75E-01,-7.33E-01,-6.80E-02,-2.57E+00,-2.18E+00,-9.68E-01,-6.56E-01,-2.71E+00,-2.73E+00,-4.44E+00,-3.79E+00,9.13E-01,3.28E-01,1.84E-01
17-09-16.2CBDHA,c3C,1,6.62E-01,1.51E+00,1.24E+00,9.20E-01,-1.75E+00,-1.64E+00,-6.94E-01,1.12E+00,1.67E+00,2.95E+00,-7.30E-01,-2.00E-01,3.27E+00,1.76E+00,-6.08E-01
17-09-16.1CBDPA,c3C,1,2.66E+00,6.32E-01,2.13E+00,1.87E+00,2.71E+00,2.75E-01,2.20E+00,1.33E+00,-2.81E-01,1.94E+00,-9.21E-01,2.65E-01,1.68E+00,2.33E+00,-7.08E-01
17-09-17.2CBDHA,c3C,1,9.26E-02,1.01E+00,1.07E+00,7.36E-02,-2.04E-02,3.28E-01,1.59E+00,3.06E-01,5.87E+00,3.33E+00,1.73E+00,1.42E+00,-6.24E-01,1.65E+00,8.05E-02
17-09-17.3CBDHA,c3C,1,4.08E+00,4.15E+00,4.04E+00,2.92E+00,1.41E+00,-2.35E-01,1.80E+00,2.06E+00,9.45E-01,-8.44E-01,3.75E-01,2.96E-01,5.28E+00,3.95E+00,-6.62E-01
