Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq
17-06-30.5CBDHA,64,1,19,19,CBDA,CBDHA,4.1667,4.3177,67.8538,14.2754,25.7061,78.016,457.4375,517.0625,444.75,440.5,524.1518,514.1875,530.1875,549.4375,1,0.9375,1,1,0.9375,0.9375,1,1,0.97656,0.015625,0.034375
17-06-22.1CBDPA,14,1,19.4,19,CBDA,CBDPA,26.075,35.6978,35.4595,36.5537,77.9857,74.5409,430,423.8036,413.3125,382.4375,463.4167,448.5833,449.1875,453.375,1,0.9375,1,1,0.875,0.75,1,1,0.94531,0.0052083,0.071875
17-09-24.2CBDHA,80,1,18.85,19,CBDA,CBDHA,20.5625,17.5072,27.3906,20.5625,28.4127,27.3906,552.625,521.1875,500.5625,467.5,558.9375,504.5625,545.25,542.6875,1,1,1,1,1,1,1,1,1,0,0.00625
17-09-23.1CBDPA,36,2,19.06,19,CBDA,CBDPA,36.5765,4.9554,38.6191,49.9992,-11.5821,22.0352,616.4107,524.875,554.9375,492.2589,598.875,565.25,589.4375,585.6607,0.9375,0.9375,1,0.9375,1,1,1,0.9375,0.96875,0.041667,0.05625
17-09-16.2CBDHA,74,2,19.42,19,CBDA,CBDHA,19.6905,38.0172,38.2296,-19.4087,38.0172,48.1962,575.375,569.9375,577.5714,556.5625,630.4375,618.1875,614.2143,587.125,1,1,0.9375,1,1,1,0.875,1,0.97656,0.010417,0.025
17-05-20.2CBDHA,2,2,18.87,19,CBDA,CBDHA,85.0299,43,20.6064,67.1263,43,20.9492,514.8125,409.375,417.0357,380.25,511.8125,446.875,442.2321,387,1,1,0.9375,1,1,1,0.9375,1,0.98438,0,0.015625
17-06-11.1CBDHA,28,1,19.41,19,CBDA,CBDHA,29.1404,23.7264,30.5912,40.6347,14.2907,30.9193,481.6696,468.6875,443.6875,434.375,499.0625,504.125,463.0714,452.4375,0.9375,1,1,1,1,1,0.9375,1,0.98438,0.0052083,0.034375
17-05-21.4CBDHA,8,2,19.27,19,CBDA,CBDHA,61.1652,13.0767,41.1841,62.2256,35.2258,88.2489,544.125,502.125,544.3125,482.5625,594.4732,542.7143,549.2708,532.5625,1,1,1,1,0.9375,0.875,0.875,1,0.96094,0.015625,0.05
17-05-20.2CBDPA,2,1,19.65,20,CBDA,CBDPA,47.8976,75.9914,34.922,69.667,88.3244,36.0485,496.0625,519.0714,462.5,448.4375,558.5179,527.875,474.0625,457.3661,1,0.875,1,1,0.9375,1,1,0.9375,0.96875,0.026042,0.04375
17-07-02.3CBDPA,32,1,19.81,20,CBDA,CBDPA,56.0738,22.8089,71.0774,77.4824,48.6475,108.7086,427.3214,445.2946,438.3125,447.625,570.7857,490.4405,466.1696,433.8571,0.8125,0.9375,0.875,1,0.875,0.8125,0.9375,0.8125,0.88281,0.10938,0.14063
