Scan_ID,Conds,Grp_CBD_Comm_fdr05_r00_all,Grp_CBD_Comm_fdr05_r01_fef_b,Grp_CBD_Comm_fdr05_r02_spl_b,Grp_CBD_Speci_fdr05_r01_ai_b,Grp_CBD_Speci_fdr05_r02_dacc_r,Grp_CBD_Speci_fdr05_r03_tpj_r
17-09-24.2CBDHA,c12,3.389253e-01,9.427060e-01,4.069120e-01,1.914933e-01,4.097975e-01,-2.257782e-01
17-05-20.2CBDHA,c12,5.512920e-02,1.820541e-01,-2.886409e-02,-1.494301e-02,-6.671088e-01,2.571100e-01
17-06-30.5CBDHA,c12,6.293732e-01,1.760786e-01,6.716376e-01,-2.386698e-01,4.728963e-02,-3.726488e-01
17-09-23.1CBDPA,c12,2.488638e-01,7.251635e-01,1.102567e-01,-1.743441e-01,-7.369587e-01,-2.759921e-01
17-05-21.4CBDHA,c12,6.749740e-01,3.093643e-01,7.123400e-01,-4.030555e-02,9.389314e-01,1.633120e+00
17-06-22.1CBDPA,c12,2.955370e-01,6.734101e-01,2.375167e-01,-4.477085e-01,1.431231e-01,1.561991e-01
17-06-11.1CBDHA,c12,6.294128e-02,2.090896e-01,1.903994e-01,-3.521078e-01,1.404429e+00,8.327322e-01
17-09-16.2CBDHA,c12,7.996035e-02,1.453765e-01,-9.841165e-02,-5.782804e-02,-3.845494e-01,-5.903953e-01
17-09-16.1CBDPA,c12,-2.369752e-01,-4.729371e-01,-3.898598e-01,-5.845494e-01,-1.030082e+00,1.911971e-01
17-09-17.2CBDHA,c12,-7.014533e-02,2.026539e-01,-1.595362e-01,-2.894840e-02,-7.712752e-01,-1.400118e+00
17-09-17.3CBDHA,c12,-1.586204e-01,-5.622868e-02,-2.407630e-01,-3.097875e-01,-2.673329e-01,-1.422141e+00
17-05-20.2CBDPA,c12,4.147380e-01,9.246145e-01,4.045223e-01,-4.779386e-01,-5.700568e-01,-1.277296e-01
17-07-02.3CBDPA,c12,2.493328e-01,8.077783e-01,2.126768e-01,6.188431e-01,6.551611e-01,-6.949491e-01
17-05-20.4CBDPA,c12,3.216765e-01,7.625095e-01,3.341038e-01,2.390651e-01,5.828414e-01,-5.101060e-01
17-06-13.4CBDHA,c12,5.746065e-01,3.734518e-03,4.720091e-01,-3.570116e-01,-1.380733e-01,-3.903038e-01
17-07-01.4CBDHA,c12,4.475040e-01,3.517702e-01,4.510560e-01,1.267759e-01,5.456648e-01,-4.092874e-01
17-07-02.1CBDHA,c12,-3.358371e-02,-6.321359e-01,-9.609097e-02,-8.621637e-01,-1.407066e+00,-1.229520e+00
17-05-28.2CBDPA,c12,-1.289013e-01,9.408165e-02,-5.314088e-01,-1.529934e-03,4.554676e-01,-2.948086e-02
17-07-02.5CBDPA,c12,-1.441960e-01,4.925554e-02,-3.587521e-01,1.059566e+00,1.186962e+00,-9.414053e-02
17-06-24.4CBDHA,c12,6.628699e-01,1.262262e+00,4.210320e-01,1.623778e-01,7.406477e-01,-4.536417e-02
17-06-22.4CBDPA,c12,-2.742035e-03,1.714065e-02,-1.829396e-01,-3.726506e-01,-4.869792e-01,-9.799514e-01
17-07-01.3CBDHA,c12,-6.249037e-02,-3.097729e-01,2.558996e-01,7.290896e-03,-2.978696e-01,-9.190199e-02
17-09-17.1CBDHA,c12,9.250723e-01,1.488858e-01,1.126710e+00,-4.425838e-02,4.660157e-01,9.185960e-01
17-06-30.4CBDHA,c12,-8.230607e-02,-1.610108e-01,8.747859e-02,9.646545e-02,9.729166e-01,-3.870894e-01
17-09-24.1CBDHA,c12,8.912826e-01,3.491554e-01,9.923623e-01,2.495203e-01,3.206504e-01,-7.489636e-02
17-06-24.1CBDHA,c12,8.396254e-01,6.329033e-01,8.886397e-01,3.150265e-01,3.869741e-01,3.803460e-01
17-06-04.1CBDHA,c12,7.322195e-02,-4.707977e-01,1.854813e-01,9.557037e-01,2.859391e-01,-5.962246e-02
17-06-17.1CBDHA,c12,9.870347e-02,4.285309e-01,-9.726227e-02,3.286002e-02,-4.219586e-02,-8.103945e-02
17-07-01.1CBDHA,c12,1.891962e-01,2.173092e-01,2.092107e-01,-2.944202e-01,-6.283170e-01,-1.107100e+00
17-06-17.2CBDHA,c12,2.262086e-02,-2.846548e-01,1.390302e-01,-4.225136e-01,-7.053387e-02,6.725822e-01
17-06-15.2CBDHA,c12,1.214903e+00,1.305705e+00,1.296054e+00,2.402613e-01,-1.468460e-01,-6.417535e-01
17-06-15.4CBDHA,c12,5.131929e-02,1.767059e-01,-8.888127e-02,-9.096172e-02,4.678082e-01,2.776227e-02
17-07-02.3CBDHA,c12,-3.610948e-01,-6.528652e-01,-2.222377e-01,-6.904483e-01,3.054443e-02,4.204812e-01
17-06-24.1CBDPA,c12,-1.543811e-01,-1.607108e-01,-1.126951e-02,-3.529806e-01,3.673910e-02,1.081931e+00
17-07-01.2CBDHA,c12,6.878536e-01,7.959144e-01,6.569405e-01,-5.099194e-01,-9.575415e-01,-1.569690e+00
